#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
0.1%,50,336.039794921875,33.93025159994996
0.1%,100,367.9048767089844,56.82383849387754
0.1%,150,404.8697509765625,84.27380894949525
0.2%,200,418.8298645019531,109.78417610284775
0.2%,250,433.6993408203125,138.3721981248248
0.3%,300,467.42578125,137.29271231389706
0.3%,350,500.579345703125,137.3961350468114
0.4%,400,511.74432373046875,149.94489710943748
0.5%,450,515.8485717773438,158.13450130809798
0.5%,500,536.8883056640625,182.5030777185134
0.6%,550,574.2035522460938,171.90055232573965
0.6%,600,546.07275390625,210.7801283374898
0.7%,650,571.8204956054688,210.95928407738975
0.7%,700,569.308349609375,231.59451596291242
0.8%,750,598.4911499023438,227.96891125394407
0.8%,800,603.43359375,251.51986476450773
0.8%,850,582.4462890625,241.77905994662103
0.9%,900,623.7388916015625,242.99265077775527
0.9%,950,623.0345458984375,259.6237008365822
1.0%,1000,645.4769287109375,238.29602476732637
1.1%,1050,631.6241455078125,269.94593917470826
1.1%,1100,651.4805908203125,252.54875552481832
1.1%,1150,646.9888916015625,255.13701645010954
1.2%,1200,638.818115234375,320.13487879519124
1.2%,1250,704.841552734375,262.08632621268157
1.3%,1300,690.452392578125,301.38296083034214
1.4%,1350,652.22021484375,307.4010689142047
1.4%,1400,698.597412109375,274.06283923030924
1.4%,1450,613.4845581054688,290.79216177811
1.5%,1500,678.2349853515625,251.09384419907516
1.6%,1550,654.6610717773438,276.55457807393174
1.6%,1600,655.0801391601562,289.9386452231145
1.6%,1650,689.7811279296875,240.13134204808935
1.7%,1700,638.2186279296875,290.48889686277033
1.8%,1750,676.212646484375,279.4038208457496
1.8%,1800,676.301025390625,269.994832608237
1.9%,1850,662.007080078125,265.4470739575459
1.9%,1900,704.266845703125,247.60955921254447
1.9%,1950,667.6636962890625,290.49988635267516
2.0%,2000,685.2840576171875,278.174191382759
2.0%,2050,662.2476806640625,292.06010813295563
2.1%,2100,691.9747314453125,277.1906950218965
2.1%,2150,664.4810791015625,289.76912038988104
2.2%,2200,684.1905517578125,270.2855882806502
2.2%,2250,703.4548950195312,253.14336873396059
2.3%,2300,695.7794799804688,291.84205303026465
2.4%,2350,689.982177734375,306.85510375818274
2.4%,2400,669.7645263671875,302.146481676617
2.5%,2450,702.9537353515625,279.34943922399196
2.5%,2500,656.67626953125,298.62587194337635
2.5%,2550,677.9563598632812,278.46909767181455
2.6%,2600,689.0174560546875,271.7920327858562
2.6%,2650,652.7471923828125,314.2248456202271
2.7%,2700,648.9469604492188,300.62595397348235
2.8%,2750,682.503662109375,292.13615660941656
2.8%,2800,710.822021484375,308.3139569321996
2.9%,2850,693.4852905273438,305.2279251739424
2.9%,2900,672.9735107421875,308.69117823449403
