dataset,energy
ginger,79.24861304880031
ginger,81.58908373136553
ginger,76.22115075562793
ginger,67.76509053997489
ginger,74.71110304236844
ginger,68.5589571707026
ginger,72.2540108238409
ginger,83.36726780627528
ginger,69.2466000502917
ginger,66.96137423720863
ginger,74.32560832856144
ginger,68.43094518295777
ginger,70.09880604315491
ginger,75.4524041772314
ginger,73.55706457567173
ginger,74.81443491173289
ginger,84.07119121287766
ginger,71.04001194029723
ginger,65.78916200511213
ginger,67.3592178733235
ginger,75.74314649922478
ginger,67.64834346968003
ginger,77.0471461101833
ginger,84.96119266262767
ginger,66.52843655984486
ginger,75.67916471265669
ginger,68.86459141852245
ginger,81.12056286501172
ginger,73.69872245881628
ginger,76.04655157808608
ginger,77.47842574978237
ginger,85.07884323285059
ginger,66.19228366605212
ginger,75.54796142107512
ginger,68.7345035265872
ginger,66.9819941815676
ginger,72.76014625598971
ginger,69.67600979763823
ginger,72.26132044401949
ginger,66.7170305078744
ginger,69.5811359920199
ginger,75.44202811335848
ginger,67.1119384971745
ginger,83.4419204876343
ginger,74.46277602160161
ginger,70.26376248645157
ginger,80.5328884831818
ginger,68.67029370298624
ginger,65.97682826573845
ginger,71.79627265393866
ginger,75.94249370023927
ginger,73.83456515383172
ginger,66.73382115253277
ginger,66.3684205487907
ginger,80.6786236136871
bam,202.30258862024849
bam,169.76025134100854
bam,157.79909327018686
bam,199.1451599880544
bam,163.63931977339513
bam,195.1689304298289
bam,192.48302009179957
bam,174.45304470803342
bam,160.99063420965643
bam,180.8321069000413
bam,207.88367749249576
bam,161.99516722403646
bam,218.29790954712095
bam,157.75914234925995
bam,213.75419924360028
bam,186.51682031513366
bam,166.9924604431453
bam,160.0256823037441
bam,175.2091288057871
bam,180.06004744469575
bam,196.21747686522286
bam,194.91126072277842
bam,193.19862280328093
bam,215.3088391083915
bam,187.45295577764622
bam,151.19975017011075
bam,154.7913579415123
bam,241.8185499152273
bam,181.13226066501488
bam,154.3926967486125
bam,270.9355915005168
bam,176.28132177770877
bam,161.48060480708958
bam,187.62430718805481
bam,201.59315503226145
bam,184.56587536703876
bam,196.82702769515828
bam,178.86132490581832
bam,163.01767253262005
bam,307.96931637356795
bam,164.28305396861032
bam,214.8646263624614
bam,190.10080259435915
bam,162.37232379154202
bam,166.94984288874628
bam,185.76386860121804
bam,272.1933513328944
bam,167.79985289915413
bam,191.59386526981604
bam,182.0202140652924
bam_ff,253.11843359062715
bam_ff,232.9088928946354
bam_ff,178.99324450512992
bam_ff,171.81386462511247
bam_ff,172.5707327560496
bam_ff,187.11122090566738
bam_ff,196.11318580700524
bam_ff,385.73422465463966
bam_ff,174.90637349866284
bam_ff,215.84920742478477
bam_ff,170.77212493542876
bam_ff,240.70683973916803
bam_ff,240.7176280347851
bam_ff,247.2001036701445
bam_ff,218.247669870337
bam_ff,191.59196645603134
bam_ff,183.32856731802354
bam_ff,169.3665278282882
bam_ff,222.0122409686507
bam_ff,177.81342848982453
bam_ff,191.71474267205974
bam_ff,21788.39570821934
bam_ff,193.11813799978253
bam_ff,365.2642624144078
bam_ff,184.62466307258842
bam_ff,170.35042553015552
bam_ff,181.30105557162003
bam_ff,178.95745273967685
bam_ff,190.29965702077666
bam_ff,162.26619801954683
bam_ff,185.48354249978706
bam_ff,172.73413627764833
bam_ff,260.0942280493332
bam_ff,243.21200093055276
bam_ff,182.54678509084627
bam_ff,173.8009596415962
bam_ff,180.4363940478722
bam_ff,206.46689852082946
bam_ff,1732.5674223615274
bam_ff,201.0957721343358
bam_ff,175.52715636525568
bam_ff,205.97350956113502
bam_ff,270.9183909937107
bam_ff,231.90743602563668
bam_ff,213.56795160450767
bam_ff,187.29535126603173
bam_ff,340.7156144472723
bam_ff,164.9669534211217
bam_ff,198.73393964763557
bam_ff,256.5945103235031
frog2,133.80881385803966
frog2,136.04687378251302
frog2,135.60594430162254
frog2,132.64625554021117
frog2,132.79502723544772
frog2,132.6221426428062
frog2,132.6703842065499
frog2,129.720505424774
frog2,135.68163309685372
frog2,133.20816803488455
frog2,309.1874952755224
frog2,143.65536454315475
frog2,309.0198258003143
frog2,132.64544203784178
frog2,126.32049342230188
frog2,138.8506965175374
frog2,320.95907993721045
frog2,132.50338697598124
frog2,133.85362660355858
frog2,132.5894219905056
frog2,132.58415265946246
frog2,132.77184602737648
frog2,131.09079838211142
frog2,135.29608014468278
frog2,148.89571046723478
frog2,132.25042545283006
frog2,125.70318883508261
frog2,142.53163979026178
frog2,142.89199370335575
frog2,139.18535462948043
frog2,148.68000475785684
frog2,126.31085159024943
frog2,139.1487373008006
frog2,140.39048070400696
frog2,136.3776503690335
frog2,138.49683828497956
frog2,147.9262463652221
frog2,305.44277141642254
frog2,148.70328032644647
frog2,132.0348685967891
frog2,133.23045792776563
frog2,138.14296013711615
frog2,137.2231898471763
frog2,136.17089310791707
frog2,132.64381997895904
frog2,138.794666586269
frog2,138.16087122131
frog2,137.16706793627316
frog2,142.3148095579297
frog2,136.7001507666912
bam_ov,302587804.58030885
bam_ov,5777.172852022161
bam_ov,398.89796317576094
